Name,Objective Value,Time,Gap
p1.2.a.txt,0,0,0
p1.2.b.txt,10,0.032,0
p1.2.c.txt,15,0.219,0
p1.2.d.txt,25,13.25,0
p1.2.e.txt,40,81.813,0
p1.2.f.txt,60,120.078,0.402623768
p1.2.g.txt,70,120.047,0.476574501
p1.2.h.txt,90,120.032,0.428571429
p1.2.i.txt,105,120.047,0.422963138
p1.2.j.txt,120,120.032,0.34744357
p1.2.k.txt,135,120.063,0.292712067
p1.2.l.txt,155,120.079,0.233365366
p1.2.m.txt,165,120.047,0.216942149
p1.2.n.txt,195,120.032,0.097911497
p1.2.o.txt,200,120.047,0.1
p1.2.p.txt,200,120.063,0.133467742
p1.2.q.txt,225,120.046,0.077566941
p1.2.r.txt,240,120.047,0.048051075
